Generation, Best Value, Time
1, 8, 0.0009980201721191406
2, 8, 0.0009980201721191406
3, 8, 0.0019960403442382812
4, 8, 0.0029959678649902344
5, 9, 0.0029959678649902344
6, 9, 0.003996372222900391
7, 10, 0.003996372222900391
8, 10, 0.004996538162231445
9, 10, 0.005997180938720703
10, 10, 0.005997180938720703
11, 10, 0.006997108459472656
12, 10, 0.007996082305908203
13, 10, 0.007996082305908203
14, 10, 0.0097503662109375
15, 10, 0.010760307312011719
16, 10, 0.010760307312011719
17, 10, 0.011759757995605469
18, 10, 0.012771129608154297
19, 10, 0.012771129608154297
20, 10, 0.013771533966064453
21, 10, 0.013771533966064453
22, 10, 0.014771461486816406
23, 10, 0.015760183334350586
24, 10, 0.016759872436523438
25, 10, 0.016759872436523438
26, 10, 0.01775956153869629
27, 10, 0.018770694732666016
28, 10, 0.01893138885498047
29, 10, 0.01963019371032715
30, 10, 0.02064657211303711
31, 10, 0.02064657211303711
32, 10, 0.021636009216308594
33, 10, 0.022646427154541016
34, 10, 0.022646427154541016
35, 10, 0.02364635467529297
36, 10, 0.024646520614624023
37, 10, 0.024646520614624023
38, 10, 0.025646686553955078
39, 10, 0.02664637565612793
40, 10, 0.02664637565612793
41, 10, 0.027646303176879883
42, 10, 0.028646230697631836
43, 10, 0.028646230697631836
44, 10, 0.02999258041381836
45, 10, 0.02999258041381836
46, 10, 0.031009435653686523
47, 10, 0.031998634338378906
48, 10, 0.031998634338378906
49, 10, 0.032997846603393555
50, 10, 0.033997297286987305
51, 10, 0.033997297286987305
52, 10, 0.035008907318115234
53, 10, 0.03600883483886719
54, 10, 0.03600883483886719
55, 10, 0.03700900077819824
56, 10, 0.0380098819732666
57, 10, 0.0380098819732666
58, 10, 0.03900909423828125
59, 10, 0.040157318115234375
60, 10, 0.040157318115234375
61, 10, 0.040854454040527344
62, 10, 0.041870832443237305
63, 10, 0.041870832443237305
64, 10, 0.04285931587219238
65, 10, 0.04387044906616211
66, 10, 0.04387044906616211
67, 10, 0.044870853424072266
68, 10, 0.045871734619140625
69, 10, 0.045871734619140625
70, 10, 0.046871185302734375
71, 10, 0.047849416732788086
72, 10, 0.047849416732788086
73, 10, 0.048871755599975586
74, 10, 0.049870967864990234
75, 10, 0.049870967864990234
76, 10, 0.05091738700866699
77, 10, 0.05142617225646973
78, 10, 0.05244302749633789
79, 10, 0.05244302749633789
80, 10, 0.05343174934387207
81, 10, 0.05343174934387207
82, 10, 0.0544431209564209
83, 10, 0.05544281005859375
84, 10, 0.05544281005859375
85, 10, 0.056442975997924805
86, 10, 0.05744290351867676
87, 10, 0.05744290351867676
88, 10, 0.05844283103942871
89, 10, 0.059442758560180664
90, 10, 0.059442758560180664
91, 10, 0.06044292449951172
92, 10, 0.06155252456665039
93, 10, 0.062157630920410156
94, 10, 0.062157630920410156
95, 10, 0.06316757202148438
96, 10, 0.06416726112365723
97, 10, 0.06416726112365723
98, 10, 0.06517958641052246
99, 10, 0.06616735458374023
100, 10, 0.06616735458374023
