Konfiguracja,Średnia wartość,Najlepsza wartość,Najgorsza wartość,Średni czas [s],Odchylenie czasu [s]
Konfiguracja bazowa,8.3000,7.0000,9.0000,0.7929,0.1586
Wysoka mutacja,8.1000,8.0000,9.0000,0.4956,0.0662
Krzyżowanie dwupunktowe,7.9000,7.0000,9.0000,0.5646,0.0886
Koło ruletki + niska mutacja,8.2000,8.0000,9.0000,0.4328,0.0741
